FISHERY,name,parent_id
2023_YFT_1_1,Fishery 1,2023_YFT
2023_YFT_1_2,Fishery 2,2023_YFT
2023_YFT_1_3,Fishery 3,2023_YFT
2023_YFT_4_4,Fishery 4,2023_YFT
2023_YFT_4_5,Fishery 5,2023_YFT
2023_YFT_2_6,Fishery 6,2023_YFT
2023_YFT_2_7,Fishery 7,2023_YFT
2023_YFT_3_8,Fishery 8,2023_YFT
2023_YFT_4_9,Fishery 9,2023_YFT
2023_YFT_5_10,Fishery 10,2023_YFT
2023_YFT_5_11,Fishery 11,2023_YFT
2023_YFT_5_12,Fishery 12,2023_YFT
2023_YFT_4_13,Fishery 13,2023_YFT
2023_YFT_4_14,Fishery 14,2023_YFT
2023_YFT_4_15,Fishery 15,2023_YFT
2023_YFT_4_16,Fishery 16,2023_YFT
2023_YFT_2_17,Fishery 17,2023_YFT
2023_YFT_2_18,Fishery 18,2023_YFT
2023_YFT_1_19,Fishery 19,2023_YFT
2023_YFT_1_20,Fishery 20,2023_YFT
2023_YFT_4_21,Fishery 21,2023_YFT
2023_YFT_3_22,Fishery 22,2023_YFT
2023_YFT_2_23,Fishery 23,2023_YFT
2023_YFT_2_24,Fishery 24,2023_YFT
2023_YFT_3_25,Fishery 25,2023_YFT
2023_YFT_3_26,Fishery 26,2023_YFT
2023_YFT_5_27,Fishery 27,2023_YFT
2023_YFT_2_28,Fishery 28,2023_YFT
2023_YFT_5_29,Fishery 29,2023_YFT
2023_YFT_2_30,Fishery 30,2023_YFT
2023_YFT_2_31,Fishery 31,2023_YFT
2023_YFT_2_32,Fishery 32,2023_YFT
2023_YFT_1_33,Fishery 33,2023_YFT
2023_YFT_2_34,Fishery 34,2023_YFT
2023_YFT_3_35,Fishery 35,2023_YFT
2023_YFT_4_36,Fishery 36,2023_YFT
2023_YFT_5_37,Fishery 37,2023_YFT
